,id_x,name,artists,popularity,duration,type_x,explicit,date_added,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,id_y,uri,track_href,analysis_url,duration_ms,time_signature
0,4qArKIA7dnmdushoBlkV94,La Escuela No Me Gustó,Adriel Favela,69,176000,track,False,2022-06-08T03:42:42Z,2018-08-24,0.836,0.766,7,-6.229,0,0.0371,0.323,1.18e-06,0.091,0.844,112.548,audio_features,4qArKIA7dnmdushoBlkV94,spotify:track:4qArKIA7dnmdushoBlkV94,https://api.spotify.com/v1/tracks/4qArKIA7dnmdushoBlkV94,https://api.spotify.com/v1/audio-analysis/4qArKIA7dnmdushoBlkV94,176000,4
1,4f7nKn1kTyATS63TYBcIaa,Babygirl Disco,Six Dior,56,111049,track,False,2022-06-06T21:42:52Z,1951-08-28,0.838,0.615,11,-5.322,0,0.0936,0.321,0.524,0.146,0.318,121.121,audio_features,4f7nKn1kTyATS63TYBcIaa,spotify:track:4f7nKn1kTyATS63TYBcIaa,https://api.spotify.com/v1/tracks/4f7nKn1kTyATS63TYBcIaa,https://api.spotify.com/v1/audio-analysis/4f7nKn1kTyATS63TYBcIaa,111049,4
2,4VsJcIZDzGVeoTwDiEdxF2,The Red Planet,Scientist,25,212933,track,False,2022-06-06T17:05:26Z,1981-01-01,0.744,0.514,6,-11.634,0,0.0508,0.00759,0.81,0.0849,0.666,141.367,audio_features,4VsJcIZDzGVeoTwDiEdxF2,spotify:track:4VsJcIZDzGVeoTwDiEdxF2,https://api.spotify.com/v1/tracks/4VsJcIZDzGVeoTwDiEdxF2,https://api.spotify.com/v1/audio-analysis/4VsJcIZDzGVeoTwDiEdxF2,212933,4
3,4z1YabjDCOGQuv2E4ymKyi,Guided Beam,Scientist,34,196400,track,False,2022-06-06T17:04:59Z,1981-01-01,0.757,0.451,10,-12.216,1,0.141,0.000638,0.00731,0.121,0.732,144.22,audio_features,4z1YabjDCOGQuv2E4ymKyi,spotify:track:4z1YabjDCOGQuv2E4ymKyi,https://api.spotify.com/v1/tracks/4z1YabjDCOGQuv2E4ymKyi,https://api.spotify.com/v1/audio-analysis/4z1YabjDCOGQuv2E4ymKyi,196400,4
4,5xeBdH9bBnBdmfmozGCY85,The Sun Comes Up,Mako Road,58,254465,track,False,2022-06-05T03:35:00Z,2017-08-16,0.699,0.481,9,-10.247,0,0.0353,0.225,0.00482,0.0938,0.752,146.665,audio_features,5xeBdH9bBnBdmfmozGCY85,spotify:track:5xeBdH9bBnBdmfmozGCY85,https://api.spotify.com/v1/tracks/5xeBdH9bBnBdmfmozGCY85,https://api.spotify.com/v1/audio-analysis/5xeBdH9bBnBdmfmozGCY85,254465,4
5,2MQhTbX792AT6YyzwLz9dt,Sedona,Houndmouth,68,239881,track,False,2022-06-05T00:16:45Z,2015-03-17,0.394,0.654,3,-8.243,1,0.0346,0.0404,6.96e-05,0.112,0.264,135.188,audio_features,2MQhTbX792AT6YyzwLz9dt,spotify:track:2MQhTbX792AT6YyzwLz9dt,https://api.spotify.com/v1/tracks/2MQhTbX792AT6YyzwLz9dt,https://api.spotify.com/v1/audio-analysis/2MQhTbX792AT6YyzwLz9dt,239881,4
6,11NkxJtowfjaJksJbjYAS0,Outro Lugar,Toco,51,201375,track,False,2022-06-03T20:02:42Z,2007-06-19,0.733,0.696,6,-10.512,1,0.053,0.213,0.447,0.0998,0.627,151.939,audio_features,11NkxJtowfjaJksJbjYAS0,spotify:track:11NkxJtowfjaJksJbjYAS0,https://api.spotify.com/v1/tracks/11NkxJtowfjaJksJbjYAS0,https://api.spotify.com/v1/audio-analysis/11NkxJtowfjaJksJbjYAS0,201376,4
7,26uu6uxVb5ck1vYhXDIrPR,Night on Earth,Jerkcurb,45,340768,track,False,2022-05-29T06:26:23Z,2019-09-13,0.268,0.494,4,-7.219,1,0.0321,0.0656,2.61e-05,0.123,0.136,102.065,audio_features,26uu6uxVb5ck1vYhXDIrPR,spotify:track:26uu6uxVb5ck1vYhXDIrPR,https://api.spotify.com/v1/tracks/26uu6uxVb5ck1vYhXDIrPR,https://api.spotify.com/v1/audio-analysis/26uu6uxVb5ck1vYhXDIrPR,340769,3
8,5pk8VNrHhcaVRGq12rz8BI,Slow Hot Wind,Penny Goodwin,38,287133,track,False,2022-05-23T21:53:55Z,2016-11-11,0.347,0.378,7,-12.468,0,0.0362,0.951,0.0986,0.0765,0.362,83.841,audio_features,5pk8VNrHhcaVRGq12rz8BI,spotify:track:5pk8VNrHhcaVRGq12rz8BI,https://api.spotify.com/v1/tracks/5pk8VNrHhcaVRGq12rz8BI,https://api.spotify.com/v1/audio-analysis/5pk8VNrHhcaVRGq12rz8BI,287133,4
9,4K9siHhdhmwywswG13gMP4,Mopedbart,Hubbabubbaklubb,47,310000,track,False,2022-05-23T19:34:13Z,2018-10-12,0.836,0.609,2,-9.772,1,0.0898,0.0198,0.852,0.093,0.875,108.008,audio_features,4K9siHhdhmwywswG13gMP4,spotify:track:4K9siHhdhmwywswG13gMP4,https://api.spotify.com/v1/tracks/4K9siHhdhmwywswG13gMP4,https://api.spotify.com/v1/audio-analysis/4K9siHhdhmwywswG13gMP4,310000,4
